                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51992,                 1.1657,                0.95238,                0.24696,                0.52771,                0.30352,                0.23588,                0.85072,                 2.1048,                 1.1801,             0.00092952,             0.00092952,             0.00092952
                     36,                0.50728,                 1.1213,                0.94894,                0.40021,                0.81888,                0.57059,                0.51784,                0.47011,                 1.3423,                0.90608,             0.00092402,             0.00092402,             0.00092402
                     37,                 0.5037,                  1.094,                0.94869,                0.43204,                   0.82,                 0.5993,                0.53048,                0.43829,                   1.13,                0.89017,             0.00091852,             0.00091852,             0.00091852
                     38,                0.50963,                 1.0612,                0.95349,                0.36978,                0.84965,                0.42686,                0.34819,                0.72662,                 2.0059,                 1.1009,             0.00091302,             0.00091302,             0.00091302
                     39,                0.53949,                 1.0999,                0.96812,                 0.6911,                0.54066,                0.62178,                0.52432,                0.60241,                 1.3729,                0.96352,             0.00090752,             0.00090752,             0.00090752
                     40,                0.51432,                 1.0857,                0.95296,                0.19627,                   0.46,                0.35365,                0.27816,                0.68928,                 2.6932,                 1.0407,             0.00090202,             0.00090202,             0.00090202
                     41,                0.52584,                 1.0796,                0.95432,                0.37581,                   0.78,                0.57899,                0.53991,                0.46418,                 1.2386,                0.91186,             0.00089652,             0.00089652,             0.00089652
                     42,                0.52805,                 1.0332,                0.95863,                0.42234,                0.73175,                0.58164,                0.49806,                0.47232,                 1.5643,                0.93262,             0.00089102,             0.00089102,             0.00089102
                     43,                0.48878,                 1.0133,                0.94263,                0.49972,                0.68811,                0.47689,                0.40236,                0.61466,                 2.0111,                0.99608,             0.00088552,             0.00088552,             0.00088552
                     44,                0.48512,                 0.9966,                0.94184,                0.46021,                    0.6,                0.55282,                0.48923,                0.51676,                 1.4734,                0.97147,             0.00088002,             0.00088002,             0.00088002
