                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94663,                 2.7381,                  1.195,                 0.2106,                   0.68,                0.29863,                 0.2353,                0.69779,                 2.1512,                 1.0622,             0.00036786,             0.00036786,             0.00036786
                      2,                0.83926,                 2.1545,                 1.1116,                0.20493,                   0.92,                0.27698,                0.21081,                0.72652,                 1.8575,                 1.1622,             0.00073454,             0.00073454,             0.00073454
                      3,                0.84246,                 1.9878,                 1.1062,                0.20746,                      1,                0.26787,                0.22537,                0.68748,                 1.8842,                 1.0634,              0.0010976,              0.0010976,              0.0010976
                      4,                0.79304,                 1.8304,                 1.0784,                0.14252,                   0.72,                 0.2695,                0.17034,                 1.2263,                 2.3261,                 1.6287,              0.0010945,              0.0010945,              0.0010945
                      5,                0.79395,                 1.7392,                 1.0743,                0.19244,                    0.9,                0.33204,                0.28573,                0.60334,                 1.6237,                 1.0071,              0.0010945,              0.0010945,              0.0010945
                      6,                0.77004,                  1.675,                 1.0587,                0.20144,                   0.92,                0.29164,                0.25574,                0.58728,                 1.6324,                0.98004,               0.001089,               0.001089,               0.001089
                      7,                0.73794,                 1.6268,                 1.0489,                0.16818,                0.83535,                0.31606,                0.27714,                0.63734,                 1.6679,                 1.0504,              0.0010835,              0.0010835,              0.0010835
                      8,                0.72142,                 1.5759,                 1.0422,                0.20684,                0.94132,                0.30129,                0.27301,                 0.5054,                 1.5188,                0.94505,               0.001078,               0.001078,               0.001078
                      9,                0.71459,                 1.5398,                 1.0363,                0.21404,                    0.9,                0.27918,                0.24182,                0.57163,                 1.6078,                0.94784,              0.0010725,              0.0010725,              0.0010725
                     10,                0.69118,                  1.534,                 1.0226,                0.19908,                   0.98,                0.29515,                0.25489,                0.48522,                   1.52,                0.94482,               0.001067,               0.001067,               0.001067
                     11,                0.67383,                 1.5114,                 1.0109,                0.20367,                   0.96,                0.28519,                0.25203,                0.48621,                 1.5019,                0.92677,              0.0010615,              0.0010615,              0.0010615
                     12,                0.67636,                 1.5051,                 1.0236,                0.20198,                 0.8456,                0.26083,                0.23469,                0.48996,                 1.7058,                0.93125,               0.001056,               0.001056,               0.001056
                     13,                0.66542,                 1.4613,                 1.0122,                0.21227,                   0.84,                0.33516,                0.30616,                0.46106,                 1.4785,                 0.9128,              0.0010505,              0.0010505,              0.0010505
                     14,                0.63611,                 1.4472,                 1.0046,                0.21658,                   0.96,                0.30535,                0.26802,                0.53276,                 1.4532,                0.96328,               0.001045,               0.001045,               0.001045
                     15,                 0.6294,                 1.4537,                0.99801,                0.21329,                      1,                0.35863,                0.32307,                0.48195,                 1.4203,                0.90614,              0.0010395,              0.0010395,              0.0010395
                     16,                0.65652,                 1.4426,                 1.0097,                 0.2081,                   0.88,                0.28133,                0.25167,                 0.4875,                 1.5518,                0.92223,               0.001034,               0.001034,               0.001034
                     17,                0.63708,                  1.431,                 1.0064,                0.25136,                   0.86,                0.31273,                0.27892,                0.50041,                 1.6258,                0.92591,              0.0010285,              0.0010285,              0.0010285
                     18,                0.61407,                 1.4168,                 0.9947,                0.18604,                    0.8,                0.34171,                 0.3085,                0.54223,                 1.7094,                0.91491,               0.001023,               0.001023,               0.001023
                     19,                0.61509,                 1.4025,                 1.0011,                0.20569,                0.90626,                0.32179,                0.29226,                0.46628,                 1.4325,                0.90467,              0.0010175,              0.0010175,              0.0010175
                     20,                0.61119,                 1.3809,                 0.9906,                0.23122,                   0.92,                0.38158,                0.34893,                0.47787,                 1.4124,                0.89591,               0.001012,               0.001012,               0.001012
                     21,                0.58903,                 1.3749,                 0.9799,                0.27233,                0.84929,                0.37897,                0.34145,                0.47413,                 1.4229,                0.92215,              0.0010065,              0.0010065,              0.0010065
                     22,                0.59051,                  1.378,                0.99023,                0.23567,                0.77939,                0.40635,                0.37546,                0.50742,                 1.3487,                0.87938,               0.001001,               0.001001,               0.001001
                     23,                0.58769,                 1.3679,                0.98549,                0.23358,                   0.82,                0.37533,                0.33427,                0.51523,                  1.556,                0.92661,             0.00099551,             0.00099551,             0.00099551
                     24,                0.58184,                 1.3854,                 0.9861,                0.23191,                   0.92,                0.37942,                0.33373,                0.48026,                 1.4655,                0.89476,             0.00099001,             0.00099001,             0.00099001
                     25,                0.58872,                 1.3607,                0.98631,                0.26383,                0.78697,                0.38141,                0.35877,                0.42098,                 1.3326,                0.86149,             0.00098451,             0.00098451,             0.00098451
                     26,                0.57735,                 1.3632,                 0.9776,                0.21166,                    0.7,                0.36941,                0.34017,                0.41173,                 1.5333,                 0.8585,             0.00097901,             0.00097901,             0.00097901
                     27,                0.55383,                 1.3277,                0.97082,                0.32762,                0.77487,                0.49124,                0.45839,                0.44896,                 1.2705,                0.87623,             0.00097351,             0.00097351,             0.00097351
                     28,                0.56617,                  1.337,                0.96712,                0.24598,                0.90434,                0.42737,                 0.3968,                0.46145,                 1.6398,                0.89251,             0.00096801,             0.00096801,             0.00096801
                     29,                0.57476,                 1.3257,                0.97951,                0.24272,                0.84054,                0.38866,                0.35497,                0.44153,                 1.3673,                0.89086,             0.00096251,             0.00096251,             0.00096251
                     30,                0.55789,                 1.3023,                0.97525,                0.30267,                   0.86,                0.45581,                0.42322,                 0.4505,                 1.3329,                0.86618,             0.00095702,             0.00095702,             0.00095702
