                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0279,                 2.8856,                 1.2472,                0.16748,                    0.4,                0.25367,                0.17829,                0.77499,                 2.2846,                 1.2397,              0.0003654,              0.0003654,              0.0003654
                      2,                0.80158,                 2.1888,                 1.0921,                0.20026,                0.97245,                0.34594,                0.28645,                0.68775,                 1.8379,                 1.1224,             0.00073209,             0.00073209,             0.00073209
                      3,                0.83426,                 2.0071,                 1.1063,                0.20327,                0.77659,                0.27113,                0.21595,                0.75192,                   2.05,                 1.1499,              0.0010951,              0.0010951,              0.0010951
                      4,                0.79018,                 1.8325,                 1.0824,                0.18193,                   0.66,                 0.2923,                0.24059,                0.67894,                  1.851,                   1.11,              0.0010945,              0.0010945,              0.0010945
                      5,                0.78344,                 1.7418,                 1.0623,                0.21297,                   0.94,                0.33028,                0.28288,                0.52848,                  1.564,                 0.9819,              0.0010945,              0.0010945,              0.0010945
                      6,                0.71172,                 1.6377,                 1.0339,                0.21968,                   0.82,                0.31287,                0.25898,                0.59528,                 1.5356,                0.99895,               0.001089,               0.001089,               0.001089
                      7,                0.72464,                 1.6242,                 1.0507,                 0.1835,                0.89898,                0.29212,                 0.2476,                0.56324,                   1.54,                0.99367,              0.0010835,              0.0010835,              0.0010835
                      8,                0.69076,                  1.558,                 1.0166,                0.16868,                0.82882,                0.31788,                0.26798,                0.65623,                 1.8929,                 1.0254,               0.001078,               0.001078,               0.001078
                      9,                0.67177,                 1.5241,                 1.0157,                0.21252,                0.97704,                0.30441,                0.26926,                 0.5325,                 1.5927,                0.95407,              0.0010725,              0.0010725,              0.0010725
                     10,                0.65984,                 1.5059,                 1.0099,                0.20307,                0.85356,                0.35251,                0.31633,                0.47879,                 1.4715,                0.93645,               0.001067,               0.001067,               0.001067
                     11,                0.66326,                  1.479,                 1.0073,                0.22715,                      1,                0.33328,                0.29655,                0.54547,                 1.4416,                0.92836,              0.0010615,              0.0010615,              0.0010615
                     12,                0.65708,                 1.4679,                 1.0079,                0.24727,                   0.76,                0.37658,                0.33392,                0.54143,                 1.7135,                 1.0016,               0.001056,               0.001056,               0.001056
                     13,                 0.6364,                 1.4554,                 1.0034,                0.23672,                   0.94,                0.37185,                0.33239,                 0.5012,                 1.6109,                0.93797,              0.0010505,              0.0010505,              0.0010505
                     14,                0.61104,                 1.4296,                0.98156,                0.23269,                   0.92,                0.35831,                0.29246,                0.65367,                 1.5033,                 1.0193,               0.001045,               0.001045,               0.001045
                     15,                0.63017,                 1.4171,                0.99522,                0.18891,                    0.7,                0.32938,                0.29745,                0.44815,                 1.6223,                0.89429,              0.0010395,              0.0010395,              0.0010395
                     16,                0.62993,                 1.4199,                 1.0091,                0.23296,                0.97457,                 0.3434,                0.29735,                0.55843,                 1.5009,                0.99442,               0.001034,               0.001034,               0.001034
                     17,                0.60146,                 1.3971,                 0.9897,                0.24226,                0.90124,                0.36713,                0.33442,                0.44491,                  1.437,                0.90153,              0.0010285,              0.0010285,              0.0010285
                     18,                0.60051,                 1.3842,                0.99651,                0.25625,                0.80967,                0.33686,                0.29939,                0.51972,                 1.7005,                0.93177,               0.001023,               0.001023,               0.001023
                     19,                0.58535,                 1.3715,                0.98576,                0.27521,                0.83314,                0.40728,                0.35367,                0.63073,                 1.7198,                0.94761,              0.0010175,              0.0010175,              0.0010175
                     20,                0.59996,                 1.3955,                0.98874,                0.22688,                    0.6,                0.38428,                0.33205,                0.53191,                 1.5362,                 1.0256,               0.001012,               0.001012,               0.001012
                     21,                0.60371,                 1.3556,                0.98054,                0.32035,                   0.94,                0.39715,                0.34684,                0.57196,                  1.447,                0.94919,              0.0010065,              0.0010065,              0.0010065
                     22,                 0.5921,                 1.3294,                0.99649,                0.24972,                0.84824,                0.48808,                0.44984,                0.44818,                 1.2969,                0.89779,               0.001001,               0.001001,               0.001001
                     23,                 0.5953,                 1.3317,                0.98119,                0.27522,                0.92693,                0.41084,                0.38035,                0.42725,                 1.4287,                0.90005,             0.00099551,             0.00099551,             0.00099551
                     24,                0.57976,                 1.3147,                0.98206,                0.27997,                   0.84,                 0.4047,                0.36713,                0.39897,                 1.4419,                0.89788,             0.00099001,             0.00099001,             0.00099001
                     25,                0.58304,                 1.3056,                0.98211,                0.38603,                0.75396,                0.40901,                0.37394,                0.42068,                 1.4458,                0.88007,             0.00098451,             0.00098451,             0.00098451
