                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1335,                 3.1198,                 1.3137,                0.13524,                   0.28,                0.27708,                0.23288,                0.63295,                 2.5462,                 1.0737,             0.00036059,             0.00036059,             0.00036059
                      2,                0.80452,                 2.2032,                 1.0946,                0.17309,                   0.72,                0.28248,                0.21891,                0.77015,                   2.19,                 1.1614,              0.0007273,              0.0007273,              0.0007273
                      3,                0.79222,                 2.0347,                 1.0795,                0.18407,                0.80128,                0.30111,                0.20372,                0.87727,                 2.9753,                 1.3973,              0.0010904,              0.0010904,              0.0010904
                      4,                0.79535,                 1.9196,                 1.0762,                0.22216,                    0.6,                0.28532,                0.22409,                0.74197,                 1.9344,                 1.1679,              0.0010945,              0.0010945,              0.0010945
                      5,                0.74479,                 1.7892,                 1.0541,                0.19834,                0.69591,                0.26631,                0.19874,                 1.0276,                 1.8329,                 1.3239,              0.0010945,              0.0010945,              0.0010945
                      6,                0.74174,                 1.7116,                 1.0483,                0.19858,                0.87093,                0.28649,                0.23939,                0.61522,                 1.6562,                 1.0865,               0.001089,               0.001089,               0.001089
                      7,                0.71142,                 1.6413,                 1.0396,                 0.2161,                   0.94,                0.31458,                0.27829,                0.54516,                 1.5486,                 1.0014,              0.0010835,              0.0010835,              0.0010835
                      8,                0.68242,                 1.5732,                 1.0221,                0.18134,                0.80587,                0.30398,                 0.2273,                0.93936,                 1.7146,                 1.1916,               0.001078,               0.001078,               0.001078
                      9,                  0.673,                 1.5487,                  1.011,                0.19695,                   0.96,                0.29449,                0.24015,                0.70277,                 1.5881,                 1.1599,              0.0010725,              0.0010725,              0.0010725
                     10,                0.66828,                 1.5188,                 1.0134,                0.22015,                0.71599,                0.27897,                0.24648,                0.54311,                 2.0884,                0.95048,               0.001067,               0.001067,               0.001067
                     11,                0.66252,                 1.5056,                 1.0115,                 0.2089,                   0.88,                0.33861,                0.30332,                0.48649,                 1.6721,                0.90501,              0.0010615,              0.0010615,              0.0010615
                     12,                0.62835,                 1.4747,                 0.9914,                0.22036,                0.89495,                0.34182,                0.29684,                0.54937,                 1.5712,                0.98099,               0.001056,               0.001056,               0.001056
                     13,                0.63384,                 1.4604,                0.99813,                0.21764,                 0.8666,                0.29765,                0.26385,                0.53486,                 1.5121,                 0.9715,              0.0010505,              0.0010505,              0.0010505
                     14,                0.61959,                 1.4368,                0.99005,                0.23968,                0.71283,                 0.3543,                 0.3151,                0.49857,                 1.4783,                 0.9304,               0.001045,               0.001045,               0.001045
                     15,                0.60419,                 1.4229,                0.98865,                0.19646,                0.78424,                 0.3259,                0.28372,                0.55597,                 1.5575,                0.93112,              0.0010395,              0.0010395,              0.0010395
                     16,                 0.6188,                  1.413,                0.99433,                0.23542,                   0.68,                0.30336,                0.23571,                0.89524,                 1.8731,                  1.257,               0.001034,               0.001034,               0.001034
